sku,group_skus.0,options.0,options.1,group,fields.name,fields.brand,fields.description,fields.material,fields.pattern,fields.bullet_1,fields.bullet_2,fields.bullet_3,fields.bullet_4,fields.bullet_5,fields.target_posting_template,fields.target_listing_action,fields.garment_rise,fields.garment_waist_closure,fields.pattern_group,fields.swimwear_style,fields.textile_dry_recommendation,fields.textile_wash_recommendation,fields.upf_rating,fields.subtype,fields.gender,fields.size_grouping,fields.audience,fields.garment_back_type,fields.garment_closure_type,fields.garment_sleeve_length_type,fields.sheerness,fields.bra_cup_construction,fields.coverage,fields.tax,fields.garment_construction_details,fields.season,options.0,options.1,group,barcode,name,fields.bullet_4_x,fields.bullet_5_x,fields.weight.value,fields.package_height.value,fields.package_width.value,fields.package_length.value,fields.weight.1,fields.package_weight.value,fields.target_color,fields.abn_size,fields.bullet_4_y,fields.bullet_5_y,fields.color,fields.size
CSO001-BLK-XL,variant-7,,,variant,Coppersuit - Women's Convertible Cross Back One Piece Swimsuit,Coppersuit,"You'll love how you look and feel in our unique Coppersuit Cross Back One Piece Swimsuit. This stylish and sleek one piece swimsuit is designed with copper-infused fabric for antibacterial and odor-control features that will keep you feeling fresh all day, in and out of water. The one piece also features a flattering cross back cut to accentuate your figure and removable cups for adjustable support. Pair this one piece with any swimsuit cover up for the perfect look.",Nylon,Solid,82% COPPER INFUSED NYLON 18% SPANDEX,"Our Model is 5'10 wearing a size medium. She has a 34"" bust, 24"" waist and 35.5"" hips. She usually wears a standard dress size",Copper-Infused,,,One Piece Swimsuits New,FULL,,,Solid,Over the Shoulder,Line Dry or Lay Flat to Dry,Hand Wash,UPF 50+,One Piece Swimsuits,Female,Womens,Adult (18 Years and Up),open,Pull-On,Sleeveless,,,Full,,,Vacation,,,variant,1.95609E+11,Coppersuit - Women's Convertible Cross Back One Piece Swimsuit,"Antibacterial ,Fights Odor,May Improve Blood Flow,Durable Fabric",Removable cups,0.4,1,10,8,0.4,0.5,Black,X Large,,,Black,XL
CSO001-MIDN-XL,variant-7,,,variant,Coppersuit - Women's Convertible Cross Back One Piece Swimsuit,Coppersuit,"You'll love how you look and feel in our unique Coppersuit Cross Back One Piece Swimsuit. This stylish and sleek one piece swimsuit is designed with copper-infused fabric for antibacterial and odor-control features that will keep you feeling fresh all day, in and out of water. The one piece also features a flattering cross back cut to accentuate your figure and removable cups for adjustable support. Pair this one piece with any swimsuit cover up for the perfect look.",Nylon,Solid,82% COPPER INFUSED NYLON 18% SPANDEX,"Our Model is 5'10 wearing a size medium. She has a 34"" bust, 24"" waist and 35.5"" hips. She usually wears a standard dress size",Copper-Infused,,,One Piece Swimsuits New,FULL,,,Solid,Over the Shoulder,Line Dry or Lay Flat to Dry,Hand Wash,UPF 50+,One Piece Swimsuits,Female,Womens,Adult (18 Years and Up),open,Pull-On,Sleeveless,,,Full,,,Vacation,,,variant,1.9561E+11,Coppersuit - Women's Convertible Cross Back One Piece Swimsuit,"Antibacterial ,Fights Odor,May Improve Blood Flow,Durable Fabric",Removable cups,0.4,1,10,8,0.4,0.5,Blue,X Large,,,Midnight,XL
CSO001-MERL-XL,variant-7,,,variant,Coppersuit - Women's Convertible Cross Back One Piece Swimsuit,Coppersuit,"You'll love how you look and feel in our unique Coppersuit Cross Back One Piece Swimsuit. This stylish and sleek one piece swimsuit is designed with copper-infused fabric for antibacterial and odor-control features that will keep you feeling fresh all day, in and out of water. The one piece also features a flattering cross back cut to accentuate your figure and removable cups for adjustable support. Pair this one piece with any swimsuit cover up for the perfect look.",Nylon,Solid,82% COPPER INFUSED NYLON 18% SPANDEX,"Our Model is 5'10 wearing a size medium. She has a 34"" bust, 24"" waist and 35.5"" hips. She usually wears a standard dress size",Copper-Infused,,,One Piece Swimsuits New,FULL,,,Solid,Over the Shoulder,Line Dry or Lay Flat to Dry,Hand Wash,UPF 50+,One Piece Swimsuits,Female,Womens,Adult (18 Years and Up),open,Pull-On,Sleeveless,,,Full,,,Vacation,,,variant,1.9561E+11,Coppersuit - Women's Convertible Cross Back One Piece Swimsuit,"Antibacterial ,Fights Odor,May Improve Blood Flow,Durable Fabric",Removable cups,0.4,1,10,8,0.4,0.5,Red,X Large,,,Merlot,XL
variant-11,,size,color,product,Coppersuit - Women's Sporty One Piece Swimsuit,Coppersuit,"Look sleek and sophisticated at the pool this summer in our Coppersuit Sporty One Piece swimsuit. This unique one piece swimsuit is designed with copper-infused fabric for antibacterial and odor-control features that will keep you feeling fresh all day, in and out of water. A v-neck cut and open-back design will show off and flatter your figure in all the best ways. Removable cups provide secure and adjustable support for your active day in the water. Pair with any cover up for a complete look!",Nylon,Solid,82% COPPER INFUSED NYLON 18% SPANDEX,"Our Model is 5'10 wearing a size medium. She has a 34"" bust, 24"" waist and 35.5"" hips. She usually wears a standard dress size",Copper-Infused,"Antibacterial ,Fights Odor,May Improve Blood Flow,Durable Fabric",Removable cups,One Piece Swimsuits New,FULL,,,Solid,Over the Shoulder,Line Dry or Lay Flat to Dry,Hand Wash,UPF 50+,One Piece Swimsuits,Female,Womens,Adult (18 Years and Up),open,Pull-On,Sleeveless,,,Full,,,Vacation,size,color,product,variant-11,Coppersuit - Women's Sporty One Piece Swimsuit,,,,,,,,,,,,,,
variant-15,,size,color,product,Coppersuit - Women's Long Sleeve One Piece Swimsuit,Coppersuit,"Our Coppersuit Long Sleeve One Piece swimsuit is the ultimate sleek rashguard for all your active days in the water. Our long sleeved rash guard provides extra coverage and UPF 50+ protection from the sun, while providing full range of motion. This stylish swimsuit is also designed with copper-infused fabric for antibacterial and odor-control properties to keep you feeling fresh all day long. An open-back tie detail and removable cups provide adjustable support and style. Hit the beach with this one piece!",Nylon,Solid,82% COPPER INFUSED NYLON 18% SPANDEX,"Our Model is 5'10 wearing a size medium. She has a 34"" bust, 24"" waist and 35.5"" hips. She usually wears a standard dress size",Copper-Infused,"Antibacterial ,Fights Odor,May Improve Blood Flow,Durable Fabric",Removable cups,One Piece Swimsuits New,FULL,,,Solid,One Piece Rash Guard,Line Dry or Lay Flat to Dry,Hand Wash,UPF 50+,One Piece Swimsuits,Female,Womens,Adult (18 Years and Up),Gathered,Pull-On,Long Sleeve,,,Full,,,Vacation,size,color,product,variant-15,Coppersuit - Women's Long Sleeve One Piece Swimsuit,,,,,,,,,,,,,,
variant-19,,size,color,product,Coppersuit - Women's Zip Front High Neck One Piece Swimsuit,Coppersuit,"Lounge at the beach in fresh style with this Coppersuit Zip Front High Neck One Piece, which will give you a sleek, sophisticated look. The swimsuit's high neck cut and racerback cutout will flatter your frame and shoulders. This one piece swimsuit is also designed with a stylish zip up front, and copper-infused fabric for antibacterial and odor-control features that will keep you feeling fresh all day, in and out of water. Throw on your favorite sunglasses and sandals for a breezy summer look!",Nylon,Solid,82% COPPER INFUSED NYLON 18% SPANDEX,"Our Model is 5'10 wearing a size medium. She has a 34"" bust, 24"" waist and 35.5"" hips. She usually wears a standard dress size",Copper-Infused,"Antibacterial ,Fights Odor,May Improve Blood Flow,Durable Fabric",Removable cups,One Piece Swimsuits New,FULL,,,Solid,Over The Shoulder,Line Dry or Lay Flat to Dry,Hand Wash,UPF 50+,One Piece Swimsuits,Female,Womens,Adult (18 Years and Up),open,Pull-On,Sleeveless,,,Full,,,Vacation,size,color,product,variant-19,Coppersuit - Women's Zip Front High Neck One Piece Swimsuit,,,,,,,,,,,,,,
variant-23,,size,color,product,CopperControl by Coppersuit - Women's Tummy Control Bandeau One Piece Swimsuit,Coppersuit,"Lounge at the beach in fresh style with this Coppersuit Zip Front High Neck One Piece, which will give you a sleek, sophisticated look. The swimsuit's high neck cut and racerback cutout will flatter your frame and shoulders. This one piece swimsuit is also designed with a stylish zip up front, and copper-infused fabric for antibacterial and odor-control features that will keep you feeling fresh all day, in and out of water. Throw on your favorite sunglasses and sandals for a breezy summer look!",Nylon,Solid,82% COPPER INFUSED NYLON 18% SPANDEX,"Our Model is 5'10 wearing a size medium. She has a 34"" bust, 24"" waist and 35.5"" hips. She usually wears a standard dress size",Copper-Infused,"Antibacterial ,Fights Odor,May Improve Blood Flow,Durable Fabric",Removable cups,One Piece Swimsuits New,FULL,,,Solid,Bandeau,Line Dry or Lay Flat to Dry,Hand Wash,UPF 50+,One Piece Swimsuits,Female,Womens,Adult (18 Years and Up),open,Pull-On,Sleeveless,,,Full,,,Vacation,size,color,product,variant-23,CopperControl by Coppersuit - Women's Tummy Control Bandeau One Piece Swimsuit,,,,,,,,,,,,,,
variant-27,,size,color,product,Coppersuit - Women's Banded High Waist Swim Bottom,Coppersuit,"This season, go for a stylish, sleek beach look in our Coppersuit Banded High Waist Bottoms. These unique swim bottoms are designed with copper-infused fabric for antibacterial and odor-control properties to keep you feeling fresh while you stay active all day long. A high waist cut flatters your hips and hugs your curves for a perfect fit. These swim bottoms will also give you extra sun protection with UPF 50+. Pair these swim bottoms with our Coppersuit Banded Halter Swim Bra for a complete look!",Nylon,Solid,82% COPPER INFUSED NYLON 18% SPANDEX,"Our Model is 5'10 wearing a size medium. She has a 34"" bust, 24"" waist and 35.5"" hips. She usually wears a standard dress size",Copper-Infused,"Antibacterial ,Fights Odor,May Improve Blood Flow,Durable Fabric",,Swimsuit Bottoms,FULL,Mid Rise,Pull-On,Solid,High Waist,Line Dry or Lay Flat to Dry,Hand Wash,UPF 50+,Bikini Swim Bottoms,Female,Womens,Adult (18 Years and Up),,Pull-On,,,,Full,,,Vacation,size,color,product,variant-27,Coppersuit - Women's Banded High Waist Swim Bottom,,,,,,,,,,,,,,
variant-31,,size,color,product,Coppersuit - Women's Woven Boardshort Swim Bottom,Coppersuit,"Ride the waves in casual, beach style with these Coppersuit Woven Board Shorts, which will give you a comfortable, laid-back fit. Adjust the waist to your liking with the board short's drawstrings while getting full coverage for your bottom. These unique swim bottoms are designed with copper-infused fabric for antibacterial and odor-control properties to keep you feeling fresh while you stay active all day long. Pair with our Coppersuit Long Sleeve Rash Guard for a stylish, sleek look!",Nylon,Solid,82% COPPER INFUSED NYLON 18% SPANDEX,"Our Model is 5'10 wearing a size medium. She has a 34"" bust, 24"" waist and 35.5"" hips. She usually wears a standard dress size",Copper-Infused,"Antibacterial ,Fights Odor,May Improve Blood Flow,Durable Fabric",,Swimsuit Bottoms,FULL,Regular,Pull-On,Solid,Boy Short,Line Dry or Lay Flat to Dry,Hand Wash,UPF 50+,Swim Shorts,Female,Womens,Adult (18 Years and Up),,Pull-On,,,,Full,,,Vacation,size,color,product,variant-31,Coppersuit - Women's Woven Boardshort Swim Bottom,,,,,,,,,,,,,,
variant-35,,size,color,product,Coppersuit - Women's Swim Swim Short,Coppersuit,"Ride the waves in casual, beach style with these Coppersuit Woven Board Shorts, which will give you a comfortable, laid-back fit. Adjust the waist to your liking with the board short's drawstrings while getting full coverage for your bottom. These unique swim bottoms are designed with copper-infused fabric for antibacterial and odor-control properties to keep you feeling fresh while you stay active all day long. Pair with our Coppersuit Long Sleeve Rash Guard for a stylish, sleek look!",Nylon,Solid,82% COPPER INFUSED NYLON 18% SPANDEX,"Our Model is 5'10 wearing a size medium. She has a 34"" bust, 24"" waist and 35.5"" hips. She usually wears a standard dress size",Copper-Infused,"Antibacterial ,Fights Odor,May Improve Blood Flow,Durable Fabric",,Swimsuit Bottoms,FULL,Regular,Pull-On,Solid,Boy Short,Line Dry or Lay Flat to Dry,Hand Wash,UPF 50+,Swim Shorts,Female,Womens,Adult (18 Years and Up),,Pull-On,,,,Full,,,Vacation,size,color,product,variant-35,Coppersuit - Women's Swim Swim Short,,,,,,,,,,,,,,
variant-39,,size,color,product,Coppersuit - Women's Paddle Board Capri Pant,Coppersuit,"Get in the sun and enjoy the water with these sleek Coppersuit Paddleboard Pants. Whether you're catching a wave or laying out in the sun, these stylish paddleboard pants are perfect for all your activities, in and out of water. These unique pants are also designed with copper-infused fabric for antibacterial and odor-control properties, keeping you feeling fresh all day long. Match these paddleboard pants with our Coppersuit Banded Halter Swim Bra for a complete look!",Nylon,Solid,82% COPPER INFUSED NYLON 18% SPANDEX,"Our Model is 5'10 wearing a size medium. She has a 34"" bust, 24"" waist and 35.5"" hips. She usually wears a standard dress size",Copper-Infused,"Antibacterial ,Fights Odor,May Improve Blood Flow,Durable Fabric",,Swimsuit Bottoms,FULL,Regular,Pull-On,Solid,Swim Legging,Line Dry or Lay Flat to Dry,Hand Wash,UPF 50+,Swim Pants,Female,Womens,Adult (18 Years and Up),,Pull-On,,,,Full,,,Vacation,size,color,product,variant-39,Coppersuit - Women's Paddle Board Capri Pant,,,,,,,,,,,,,,
variant-43,,size,color,product,CopperControl by Coppersuit - Women's Tummy Control Ruched Swim Bottom,Coppersuit,Feel confident and fabulous in our Copper Control Ruched Bottoms with Tummy Control. These slimming swim bottoms feature a flattering high waist cut and ruched details that will hug your hips in all the best ways. The bottoms are also designed with copper-infused fabric for antibacterial and odor-control properties to keep you feeling fresh all day long at the beach. Mix and match these bottoms with our Copper Control Cross Front Bra for a figure-flattering look!,Nylon,Solid,82% COPPER INFUSED NYLON 18% SPANDEX,"Our Model is 5'10 wearing a size medium. She has a 34"" bust, 24"" waist and 35.5"" hips. She usually wears a standard dress size",Copper-Infused,"Antibacterial ,Fights Odor,May Improve Blood Flow,Durable Fabric",,Swimsuit Bottoms,FULL,Regular,Pull-On,Solid,Brief,Line Dry or Lay Flat to Dry,Hand Wash,UPF 50+,Bikini Swim Bottoms,Female,Womens,Adult (18 Years and Up),,Pull-On,,,,Full,,,Vacation,size,color,product,variant-43,CopperControl by Coppersuit - Women's Tummy Control Ruched Swim Bottom,,,,,,,,,,,,,,
variant-47,,size,color,product,CopperControl by Coppersuit - Women's Tummy Control Super High Waist Swim Bottom,Coppersuit,"You'll love how these Super High Waist Tummy Control Bottoms fit on your figure. These swim bottoms feature a higher cut waist and tummy control to help you create a flattering shape while providing more coverage and comfort both in and out of the water. Designed with copper-infused fabric for antibacterial and odor-control properties, you'll feel fresh all day. Match these Super High Waist Tummy Control Bottoms with our Copper Control Cross Scarf Hem Tankini!",Nylon,Solid,82% COPPER INFUSED NYLON 18% SPANDEX,"Our Model is 5'10 wearing a size medium. She has a 34"" bust, 24"" waist and 35.5"" hips. She usually wears a standard dress size",Copper-Infused,"Antibacterial ,Fights Odor,May Improve Blood Flow,Durable Fabric",,Swimsuit Bottoms,FULL,Regular,Pull-On,Solid,High Waist,Line Dry or Lay Flat to Dry,Hand Wash,UPF 50+,Bikini Swim Bottoms,Female,Womens,Adult (18 Years and Up),,Pull-On,,,,Full,,,Vacation,size,color,product,variant-47,CopperControl by Coppersuit - Women's Tummy Control Super High Waist Swim Bottom,,,,,,,,,,,,,,
variant-51,,size,color,product,"CopperControl by Coppersuit - Women's 5"" Woven Boardshort Swim Bottom",Coppersuit,"You'll love riding the waves in our Copper Control Woven Board Shorts, which come with adjustable drawstring ties to get the perfect fit. These woven board shorts provide full coverage for your bottom as well as sun protection with UPF 50+. The swim shorts are designed with copper-infused fabric for antibacterial and odor-control properties to keep you feeling fresh while staying active all day. Pair with our Copper Control Long Sleeve Rash Guard for a stylish, sleek look!",Nylon,Solid,82% COPPER INFUSED NYLON 18% SPANDEX,"Our Model is 5'10 wearing a size medium. She has a 34"" bust, 24"" waist and 35.5"" hips. She usually wears a standard dress size",Copper-Infused,"Antibacterial ,Fights Odor,May Improve Blood Flow,Durable Fabric",,Swimsuit Bottoms,FULL,Regular,Pull-On,Solid,Boy Short,Line Dry or Lay Flat to Dry,Hand Wash,UPF 50+,Swim Shorts,Female,Womens,Adult (18 Years and Up),,Pull-On,,,,Full,,,Vacation,size,color,product,variant-51,"CopperControl by Coppersuit - Women's 5"" Woven Boardshort Swim Bottom",,,,,,,,,,,,,,
